HW,kernel,stride,Cin,Cout,FLOPs,latency
224,7,1,1024,128,6.44514E+11,4026.74
224,7,1,1024,256,1.28903E+12,5858.204
224,7,1,1024,512,2.57805E+12,9983.927
224,7,1,1024,1024,5.15611E+12,18887.061
224,9,1,512,3,12485394432,936.036
224,9,1,512,32,1.33178E+11,1498.117
224,9,1,512,64,2.66355E+11,1633.467
224,9,1,512,128,5.3271E+11,2712.942
224,9,1,512,256,1.06542E+12,4228.349
224,9,1,512,512,2.13084E+12,7875.682
224,9,1,512,1024,4.26168E+12,14560.578
224,9,1,1024,3,24970788864,24969.908
224,9,1,1024,32,2.66355E+11,25564.908
112,1,1,3,3,225792,0.059
112,1,1,3,32,2408448,0.372
112,1,1,3,64,4816896,0.636
112,1,1,3,128,9633792,0.949
112,1,1,3,256,19267584,1.814
112,1,1,3,512,38535168,3.262
112,1,1,3,1024,77070336,11.082
112,1,1,32,3,2408448,0.418
112,1,1,32,32,25690112,8.049
112,1,1,32,64,51380224,1.241
112,1,1,32,128,102760448,2.573
112,1,1,32,256,205520896,6.658
112,1,1,32,512,411041792,6.395
112,1,1,32,1024,822083584,11.528
112,1,1,64,3,4816896,0.358
112,1,1,64,32,51380224,3.867
112,1,1,64,64,102760448,2.534
112,1,1,64,128,205520896,5.071
112,1,1,64,256,411041792,6.745
112,1,1,64,512,822083584,7.347
112,1,1,64,1024,1644167168,12.24
112,1,1,128,3,9633792,0.547
112,1,1,128,32,102760448,1.471
112,1,1,128,64,205520896,4.185
112,1,1,128,128,411041792,3.508
112,1,1,128,256,822083584,6.227
112,1,1,128,512,1644167168,11.591
112,1,1,128,1024,3288334336,16.832
112,1,1,256,3,19267584,0.982
112,1,1,256,32,205520896,4.111
112,1,1,256,64,411041792,6.409
112,1,1,256,128,822083584,7.508
112,1,1,256,256,1644167168,9.481
112,1,1,256,512,3288334336,17.414
112,1,1,256,1024,6576668672,22.946
112,1,1,512,3,38535168,1.889
112,1,1,512,32,411041792,5.268
112,1,1,512,64,822083584,7.147
112,1,1,512,128,1644167168,10.847
112,1,1,512,256,3288334336,14.404
112,1,1,512,512,6576668672,22.984
112,1,1,512,1024,13153337344,40.24
112,1,1,1024,3,77070336,4.086
112,1,1,1024,32,822083584,10.665
112,1,1,1024,64,1644167168,12.918
112,1,1,1024,128,3288334336,16.473
112,1,1,1024,256,6576668672,22.707
112,1,1,1024,512,13153337344,42.364
112,1,1,1024,1024,26306674688,84.986
112,1,2,3,3,56448,0.076
112,1,2,3,32,602112,0.576
112,1,2,3,64,1204224,0.298
112,1,2,3,128,2408448,0.449
112,1,2,3,256,4816896,0.734
112,1,2,3,512,9633792,1.762
112,1,2,3,1024,19267584,3.765
112,1,2,32,3,602112,0.296
112,1,2,32,32,6422528,0.539
112,1,2,32,64,12845056,1.135
112,1,2,32,128,25690112,1.925
112,1,2,32,256,51380224,2.164
112,1,2,32,512,102760448,2.774
112,1,2,32,1024,205520896,3.185
112,1,2,64,3,1204224,0.398
112,1,2,64,32,12845056,1.685
112,1,2,64,64,25690112,0.738
112,1,2,64,128,51380224,1.621
112,1,2,64,256,102760448,2.566
112,1,2,64,512,205520896,3.261
112,1,2,64,1024,411041792,4.418
112,1,2,128,3,2408448,0.668
112,1,2,128,32,25690112,0.966
112,1,2,128,64,51380224,1.978
112,1,2,128,128,102760448,1.967
112,1,2,128,256,205520896,3.342
112,1,2,128,512,411041792,4.888
112,1,2,128,1024,822083584,4.861
112,1,2,256,3,4816896,1.197
112,1,2,256,32,51380224,2.802
112,1,2,256,64,102760448,3.004
112,1,2,256,128,205520896,3.915
112,1,2,256,256,411041792,4.676
112,1,2,256,512,822083584,5.595
112,1,2,256,1024,1644167168,9.479
112,1,2,512,3,9633792,1.969
112,1,2,512,32,102760448,3.726
112,1,2,512,64,205520896,3.743
112,1,2,512,128,411041792,4.147
112,1,2,512,256,822083584,6.104
112,1,2,512,512,1644167168,10.291
112,1,2,512,1024,3288334336,15.243
112,1,2,1024,3,19267584,3.166
112,1,2,1024,32,205520896,5.256
112,1,2,1024,64,411041792,5.65
112,1,2,1024,128,822083584,8.25
112,1,2,1024,256,1644167168,12.138
112,1,2,1024,512,3288334336,15.906
112,1,2,1024,1024,6576668672,23.57
112,1,4,3,3,14112,0.044
112,1,4,3,32,150528,0.053
112,1,4,3,64,301056,0.058
112,1,4,3,128,602112,0.361
112,1,4,3,256,1204224,2.215
112,1,4,3,512,2408448,0.473
112,1,4,3,1024,4816896,2.112
112,1,4,32,3,150528,0.126
112,1,4,32,32,1605632,0.282
112,1,4,32,64,3211264,3.096
112,1,4,32,128,6422528,0.393
112,1,4,32,256,12845056,0.884
112,1,4,32,512,25690112,0.814
112,1,4,32,1024,51380224,4.173
112,1,4,64,3,301056,0.14
112,1,4,64,32,3211264,3.008
112,1,4,64,64,6422528,2.607
112,1,4,64,128,12845056,0.514
112,1,4,64,256,25690112,1.565
112,1,4,64,512,51380224,3.299
112,1,4,64,1024,102760448,1.425
112,1,4,128,3,602112,0.447
112,1,4,128,32,6422528,1.14
112,1,4,128,64,12845056,0.889
112,1,4,128,128,25690112,1.239
112,1,4,128,256,51380224,1.685
112,1,4,128,512,102760448,1.915
112,1,4,128,1024,205520896,2.427
112,1,4,256,3,1204224,0.542
112,1,4,256,32,12845056,2.223
112,1,4,256,64,25690112,1.651
112,1,4,256,128,51380224,1.92
112,1,4,256,256,102760448,2.571
112,1,4,256,512,205520896,2.733
112,1,4,256,1024,411041792,4.312
112,1,4,512,3,2408448,1.048
112,1,4,512,32,25690112,1.993
112,1,4,512,64,51380224,2.001
112,1,4,512,128,102760448,2.634
112,1,4,512,256,205520896,2.867
112,1,4,512,512,411041792,4.057
112,1,4,512,1024,822083584,5.506
112,1,4,1024,3,4816896,1.876
112,1,4,1024,32,51380224,3.004
112,1,4,1024,64,102760448,3.316
112,1,4,1024,128,205520896,3.726
112,1,4,1024,256,411041792,4.562
112,1,4,1024,512,822083584,6.186
112,1,4,1024,1024,1644167168,9.301
112,3,1,3,3,2032128,0.415
112,3,1,3,32,21676032,1.074
112,3,1,3,64,43352064,1.754
112,3,1,3,128,86704128,1.728
112,3,1,3,256,173408256,2.043
112,3,1,3,512,346816512,7.401
112,3,1,3,1024,693633024,8.835
112,3,1,32,3,21676032,2.216
112,3,1,32,32,231211008,3.135
112,3,1,32,64,462422016,8.315
112,3,1,32,128,924844032,6.573
112,3,1,32,256,1849688064,12.954
112,3,1,32,512,3699376128,18.359
112,3,1,32,1024,7398752256,26.338
112,3,1,64,3,43352064,3.659
112,3,1,64,32,462422016,9.749
112,3,1,64,64,924844032,10.358
112,3,1,64,128,1849688064,13.678
112,3,1,64,256,3699376128,20.365
112,3,1,64,512,7398752256,29.414
112,3,1,64,1024,14797504512,46.407
112,3,1,128,3,86704128,7.341
112,3,1,128,32,924844032,14.536
112,3,1,128,64,1849688064,16.563
112,3,1,128,128,3699376128,24.399
112,3,1,128,256,7398752256,35.952
112,3,1,128,512,14797504512,50.828
112,3,1,128,1024,29595009024,97.913
112,3,1,256,3,173408256,15.391
112,3,1,256,32,1849688064,27.098
112,3,1,256,64,3699376128,30.512
112,3,1,256,128,7398752256,43.678
112,3,1,256,256,14797504512,62.411
112,3,1,256,512,29595009024,107.455
112,3,1,256,1024,59190018048,183.658
112,3,1,512,3,346816512,33.244
112,3,1,512,32,3699376128,56.386
112,3,1,512,64,7398752256,63.648
112,3,1,512,128,14797504512,85.778
112,3,1,512,256,29595009024,124.304
112,3,1,512,512,59190018048,214.908
112,3,1,512,1024,1.1838E+11,393.385
112,3,1,1024,3,693633024,59.569
112,3,1,1024,32,7398752256,102.369
112,3,1,1024,64,14797504512,122.36
112,3,1,1024,128,29595009024,159.62
112,3,1,1024,256,59190018048,237.749
112,3,1,1024,512,1.1838E+11,439.317
112,3,1,1024,1024,2.3676E+11,786.68
112,3,2,3,3,508032,0.129
112,3,2,3,32,5419008,0.803
112,3,2,3,64,10838016,0.49
112,3,2,3,128,21676032,0.752
112,3,2,3,256,43352064,2.255
112,3,2,3,512,86704128,1.75
112,3,2,3,1024,173408256,3.914
112,3,2,32,3,5419008,0.963
112,3,2,32,32,57802752,2.527
112,3,2,32,64,115605504,4.589
112,3,2,32,128,231211008,3.523
112,3,2,32,256,462422016,5.203
112,3,2,32,512,924844032,5.823
112,3,2,32,1024,1849688064,11.087
112,3,2,64,3,10838016,1.613
112,3,2,64,32,115605504,5.184
112,3,2,64,64,231211008,3.473
112,3,2,64,128,462422016,6.106
112,3,2,64,256,924844032,7.578
112,3,2,64,512,1849688064,11.213
112,3,2,64,1024,3699376128,15.854
112,3,2,128,3,21676032,4.336
112,3,2,128,32,231211008,6.047
112,3,2,128,64,462422016,8.165
112,3,2,128,128,924844032,10.112
112,3,2,128,256,1849688064,12.665
112,3,2,128,512,3699376128,16.588
112,3,2,128,1024,7398752256,33.514
112,3,2,256,3,43352064,7.254
112,3,2,256,32,462422016,9.799
