HW,kernel,stride,Cin,FLOPs,latency
28,1,1,256,103161856,1.319
28,1,1,512,411844608,2.696
28,1,1,1024,1645772800,5.43
28,1,2,3,5046,0.02
28,1,2,6,17661,0.034
28,1,2,8,30276,0.043
28,1,2,16,114376,0.081
28,1,2,32,444048,0.158
28,1,2,64,1749280,0.361
28,1,2,128,6943296,0.66
28,1,2,256,27665536,1.28
28,1,2,512,110446848,2.542
28,1,2,1024,441356800,4.994
28,1,4,3,1441.5,0.02
28,1,4,6,5045.25,0.033
28,1,4,8,8649,0.042
28,1,4,16,32674,0.078
28,1,4,32,126852,0.15
28,1,4,64,499720,0.293
28,1,4,128,1983504,0.578
28,1,4,256,7903264,1.208
28,1,4,512,31551552,2.415
28,1,4,1024,126083200,4.802
28,3,1,3,52488,0.033
28,3,1,6,131220,0.037
28,3,1,8,198288,0.031
28,3,1,16,583200,0.076
28,3,1,32,1912896,0.076
28,3,1,64,6811776,0.112
28,3,1,128,25567488,0.16
28,3,1,256,98910720,0.269
28,3,1,512,388924416,0.503
28,3,1,1024,1542260736,0.831
28,3,2,3,14112,0.121
28,3,2,6,35280,0.204
28,3,2,8,53312,0.255
28,3,2,16,156800,0.421
28,3,2,32,514304,0.786
28,3,2,64,1831424,1.515
28,3,2,128,6874112,2.936
28,3,2,256,26593280,5.824
28,3,2,512,104566784,12.113
28,3,2,1024,414654464,23.736
28,3,4,3,4050,0.093
28,3,4,6,10125,0.149
28,3,4,8,15300,0.186
28,3,4,16,45000,0.361
28,3,4,32,147600,0.694
28,3,4,64,525600,1.335
28,3,4,128,1972800,2.628
28,3,4,256,7632000,5.353
28,3,4,512,30009600,10.568
28,3,4,1024,119001600,21.973
28,5,1,3,113568,0.155
28,5,1,6,251472,0.235
28,5,1,8,356928,0.288
28,5,1,16,886912,0.556
28,5,1,32,2466048,0.972
28,5,1,64,7700992,1.979
28,5,1,128,26477568,4.019
28,5,1,256,97257472,7.419
28,5,1,512,371724288,14.851
28,5,1,1024,1452285952,30.451
28,5,2,3,30618,0.111
28,5,2,6,67797,0.177
28,5,2,8,96228,0.237
28,5,2,16,239112,0.462
28,5,2,32,664848,0.873
28,5,2,64,2076192,1.75
28,5,2,128,7138368,3.421
28,5,2,256,26220672,6.885
28,5,2,512,100217088,13.727
28,5,2,1024,391537152,27.373
28,5,4,3,8830.5,0.105
28,5,4,6,19553.25,0.207
28,5,4,8,27753,0.24
28,5,4,16,68962,0.394
28,5,4,32,191748,0.756
28,5,4,64,598792,1.443
28,5,4,128,2058768,2.788
28,5,4,256,7562272,5.63
28,5,4,512,28903488,11.399
28,5,4,1024,112922752,23.31
28,7,1,3,195000,0.178
28,7,1,6,412500,0.257
28,7,1,8,570000,0.322
28,7,1,16,1300000,0.661
28,7,1,32,3240000,1.223
28,7,1,64,9040000,2.342
28,7,1,128,28320000,4.659
28,7,1,256,97600000,9.168
28,7,1,512,359040000,18.851
28,7,1,1024,1373440000,37.503
28,7,2,3,52728,0.117
28,7,2,6,111540,0.204
28,7,2,8,154128,0.268
28,7,2,16,351520,0.528
28,7,2,32,876096,1.092
28,7,2,64,2444416,2.222
28,7,2,128,7657728,4.229
28,7,2,256,26391040,8.36
28,7,2,512,97084416,16.766
28,7,2,1024,371378176,33.33
28,7,4,3,15288,0.109
28,7,4,6,32340,0.2
28,7,4,8,44688,0.246
28,7,4,16,101920,0.43
28,7,4,32,254016,0.83
28,7,4,64,708736,1.584
28,7,4,128,2220288,3.096
28,7,4,256,7651840,6.257
28,7,4,512,28148736,12.778
28,7,4,1024,107677696,25.466
28,9,1,3,290304,0.19
28,9,1,6,601344,0.298
28,9,1,8,820224,0.417
28,9,1,16,1787904,0.834
28,9,1,32,4165632,1.681
28,9,1,64,10690560,3.278
28,9,1,128,30818304,6.282
28,9,1,256,99385344,13.063
28,9,1,512,349765632,25.374
28,9,1,1024,1303511040,50.618
28,9,2,3,78750,0.172
28,9,2,6,163125,0.289
28,9,2,8,222500,0.36
28,9,2,16,485000,0.741
28,9,2,32,1130000,1.526
28,9,2,64,2900000,2.95
28,9,2,128,8360000,5.683
28,9,2,256,26960000,11.324
28,9,2,512,94880000,22.676
28,9,2,1024,353600000,45.577
28,9,4,3,22963.5,0.127
28,9,4,6,47567.25,0.223
28,9,4,8,64881,0.271
28,9,4,16,141426,0.469
28,9,4,32,329508,0.879
28,9,4,64,845640,1.668
28,9,4,128,2437776,3.292
28,9,4,256,7861536,6.504
28,9,4,512,27667008,13.151
28,9,4,1024,103109760,26.501
27,1,1,3,17496,0.021
27,1,1,6,61236,0.036
27,1,1,8,104976,0.046
27,1,1,16,396576,0.086
27,1,1,32,1539648,0.166
27,1,1,64,6065280,0.327
27,1,1,128,24074496,0.648
27,1,1,256,95924736,1.314
27,1,1,512,382952448,2.63
27,1,1,1024,1530316800,5.395
27,1,2,3,4704,0.02
27,1,2,6,16464,0.034
27,1,2,8,28224,0.043
27,1,2,16,106624,0.08
27,1,2,32,413952,0.154
27,1,2,64,1630720,0.355
27,1,2,128,6472704,0.637
27,1,2,256,25790464,1.217
27,1,2,512,102961152,2.487
27,1,2,1024,411443200,5.04
27,1,4,3,1350,0.02
27,1,4,6,4725,0.033
27,1,4,8,8100,0.042
27,1,4,16,30600,0.078
27,1,4,32,118800,0.15
27,1,4,64,468000,0.293
27,1,4,128,1857600,0.578
27,1,4,256,7401600,1.215
27,1,4,512,29548800,2.368
27,1,4,1024,118080000,4.796
27,3,1,3,48672,0.034
27,3,1,6,121680,0.036
27,3,1,8,183872,0.044
27,3,1,16,540800,0.055
27,3,1,32,1773824,0.065
27,3,1,64,6316544,0.114
27,3,1,128,23708672,0.149
27,3,1,256,91719680,0.269
27,3,1,512,360648704,0.39
27,3,1,1024,1430134784,0.768
27,3,2,3,13122,0.12
27,3,2,6,32805,0.209
27,3,2,8,49572,0.252
27,3,2,16,145800,0.41
27,3,2,32,478224,0.764
27,3,2,64,1702944,1.507
27,3,2,128,6391872,2.92
27,3,2,256,24727680,5.763
27,3,2,512,97231104,11.575
27,3,2,1024,385565184,23.613
27,3,4,3,3784.5,0.108
27,3,4,6,9461.25,0.182
27,3,4,8,14297,0.226
27,3,4,16,42050,0.388
27,3,4,32,137924,0.684
27,3,4,64,491144,1.332
27,3,4,128,1843472,2.639
27,3,4,256,7131680,5.156
27,3,4,512,28042304,10.341
27,3,4,1024,111200384,21.217
27,5,1,3,105000,0.136
27,5,1,6,232500,0.233
27,5,1,8,330000,0.296
27,5,1,16,820000,0.533
27,5,1,32,2280000,0.919
27,5,1,64,7120000,1.789
27,5,1,128,24480000,3.509
27,5,1,256,89920000,6.969
27,5,1,512,343680000,14.072
27,5,1,1024,1342720000,30.798
27,5,2,3,28392,0.114
27,5,2,6,62868,0.22
27,5,2,8,89232,0.268
27,5,2,16,221728,0.497
27,5,2,32,616512,0.895
27,5,2,64,1925248,1.716
27,5,2,128,6619392,3.374
