HW,kernel,stride,Cin,latency
28,3,2,903,0.809
28,3,2,953,0.773
28,3,2,1003,0.916
28,3,4,3,0.038
28,3,4,53,0.057
28,3,4,103,0.08
28,3,4,153,0.135
28,3,4,203,0.222
28,3,4,253,0.184
28,3,4,303,0.218
28,3,4,353,0.19
28,3,4,403,0.249
28,3,4,453,0.227
28,3,4,503,0.372
28,3,4,553,0.369
28,3,4,603,0.343
28,3,4,653,0.401
28,3,4,703,0.34
28,3,4,753,0.348
28,3,4,803,0.413
28,3,4,853,0.417
28,3,4,903,0.384
28,3,4,953,0.402
28,3,4,1003,0.408
28,5,1,3,0.077
28,5,1,53,0.627
28,5,1,103,1.027
28,5,1,153,1.489
28,5,1,203,2.005
28,5,1,253,2.417
28,5,1,303,2.837
28,5,1,353,3.332
28,5,1,403,3.804
28,5,1,453,4.286
28,5,1,503,4.775
28,5,1,553,5.308
28,5,1,603,5.657
28,5,1,653,6.107
28,5,1,703,6.678
28,5,1,753,7.067
28,5,1,803,7.545
28,5,1,853,7.996
28,5,1,903,8.438
28,5,1,953,8.901
28,5,1,1003,9.344
28,5,2,3,0.045
28,5,2,53,0.265
28,5,2,103,0.339
28,5,2,153,0.482
28,5,2,203,0.552
28,5,2,253,0.698
28,5,2,303,0.851
28,5,2,353,0.971
28,5,2,403,1.096
28,5,2,453,1.251
28,5,2,503,1.304
28,5,2,553,1.461
28,5,2,603,1.52
28,5,2,653,1.629
28,5,2,703,1.783
28,5,2,753,1.873
28,5,2,803,2.142
28,5,2,853,2.117
28,5,2,903,2.311
28,5,2,953,2.385
28,5,2,1003,2.462
28,5,4,3,0.045
28,5,4,53,0.077
28,5,4,103,0.127
28,5,4,153,0.174
28,5,4,203,0.236
28,5,4,253,0.272
28,5,4,303,0.321
28,5,4,353,0.354
28,5,4,403,0.4
28,5,4,453,0.435
28,5,4,503,0.487
28,5,4,553,0.585
28,5,4,603,0.585
28,5,4,653,0.681
28,5,4,703,0.665
28,5,4,753,0.666
28,5,4,803,0.701
28,5,4,853,0.742
28,5,4,903,0.746
28,5,4,953,0.861
28,5,4,1003,0.817
28,7,1,3,0.102
28,7,1,53,1.077
28,7,1,103,2.092
28,7,1,153,2.927
28,7,1,203,3.945
28,7,1,253,4.772
28,7,1,303,5.811
