in_features,out_features,FLOPs,latency
2710,3610,19562590,5.197
2710,3760,20375440,5.148
2710,3910,21188290,5.222
2710,4060,22001140,9.203
2710,4210,22813990,5.885
2710,4360,23626840,5.164
2710,4510,24439690,4.271
2710,4660,25252540,4.88
2710,4810,26065390,4.603
2710,4960,26878240,4.561
2710,5110,27691090,4.88
2710,5260,28503940,6.116
2710,5410,29316790,5.982
2710,5560,30129640,6.74
2710,5710,30942490,6.344
2710,5860,31755340,5.146
2710,6010,32568190,5.917
2710,6160,33381040,7.749
2710,6310,34193890,5.921
2710,6460,35006740,6.425
2710,6610,35819590,7.784
2710,6760,36632440,7.802
2710,6910,37445290,8.932
2710,7060,38258140,9.543
2710,7210,39070990,9.088
