HW,kernel,stride,Cin,latency
32,5,1,153,0.087
32,5,1,203,0.104
32,5,1,253,0.121
32,5,1,303,0.135
32,5,1,353,0.153
32,5,1,403,0.174
32,5,1,453,0.184
32,5,1,503,0.202
32,5,1,553,0.217
32,5,1,603,0.231
32,5,1,653,0.247
32,5,1,703,0.264
32,5,1,753,0.276
32,5,1,803,0.293
32,5,1,853,0.31
32,5,1,903,0.327
32,5,1,953,0.339
32,5,1,1003,0.353
32,5,2,3,0.042
32,5,2,53,0.043
32,5,2,103,0.049
32,5,2,153,0.054
32,5,2,203,0.06
32,5,2,253,0.065
32,5,2,303,0.066
32,5,2,353,0.072
32,5,2,403,0.078
32,5,2,453,0.08
32,5,2,503,0.087
32,5,2,553,0.086
32,5,2,603,0.093
32,5,2,653,0.1
32,5,2,703,0.104
32,5,2,753,0.106
32,5,2,803,0.114
32,5,2,853,0.116
32,5,2,903,0.119
32,5,2,953,0.123
32,5,2,1003,0.13
32,5,4,3,0.042
32,5,4,53,0.046
32,5,4,103,0.051
32,5,4,153,0.061
32,5,4,203,0.053
32,5,4,253,0.057
32,5,4,303,0.055
32,5,4,353,0.057
32,5,4,403,0.057
32,5,4,453,0.059
32,5,4,503,0.059
32,5,4,553,0.061
32,5,4,603,0.061
32,5,4,653,0.065
32,5,4,703,0.066
32,5,4,753,0.066
32,5,4,803,0.07
32,5,4,853,0.069
32,5,4,903,0.069
32,5,4,953,0.069
32,5,4,1003,0.07
32,7,1,3,0.049
32,7,1,53,0.069
32,7,1,103,0.092
32,7,1,153,0.119
32,7,1,203,0.145
32,7,1,253,0.168
32,7,1,303,0.195
32,7,1,353,0.218
32,7,1,403,0.243
32,7,1,453,0.268
32,7,1,503,0.291
32,7,1,553,0.318
32,7,1,603,0.342
32,7,1,653,0.367
32,7,1,703,0.389
32,7,1,753,0.414
32,7,1,803,0.438
32,7,1,853,0.462
32,7,1,903,0.485
